s | Zwei Themen die Perot immer wieder anspricht Rezession und Bürokratie | machen | ihnen besonders zu schaffen
s | Die Berliner SPD | beschlossen | mit der CDU Sondierungsgespräche für Koalitionsverhandlungen aufzunehmen
o | Großbritannien | werfen | damals in der Maschine britische Elite-Soldaten ins Land gebracht zu haben
o | Serben Kroaten und Moslems | zwingen | Beschuldigte auszuliefern
o | dem seit Mai inhaftierten Schneider | wirft | beim Bankrott seines Immobilienimperiums im Frühjahr 1994 insgesamt 245 Millionen Mark über Schweizer Konten beiseite geschafft zu haben
o | die Bundesregierung | forderte | das Parlament über die aktive Beteiligung des Bundeskriminalamts an Einfuhr und Vertrieb großer Mengen Drogen nach Europa zu informieren
s | er | wußte | sich durch einen radikalen Schritt zu helfen
s | das | anstrengen | die Stabilitätskriterien zu erfüllen
s | die Republikaner | hoffen | Clinton ablösen zu können
s | die Demokraten | versucht | die von den Republikanern angestrebten Ausgabenkürzungen im Sozialbereich zum Hauptthema zu machen
s | Das Goldman-Konsortium | zugesagt | alle Verbindlichkeiten der Immobilie zu übernehmen und 45 Millionen Dollar zur kurzfristigen Finanzierung bereitzustellen
s | die | erlaubt | sich im Internet per Mausklick zu bewegen
o | mir | Gestatten | diesen feierlichen Anlaß zu einer Überlegung über jenes Phänomen welches man Postkommunismus nennt zu nutzen
o | die | lernte | zu ertragen
s | die | versuchen | sich in alle entwurzelten Seelen hineinzudrängen
s | Tschernomyrdin | bekommen | Die ersten letzten Freitag zu spüren
s | der | wagte | das Messer an die heilige Kuh Mathematikunterricht zu legen
s | Ausbildungsförderung | helfen | in Zukunft mehr jungen Menschen eine Schul- und Hochschulausbildung zu ermöglichen
s | Uta | versucht | die unter die Leute zu bringen
s | Diese Leute hier mit großem Bahnhof zu empfangen | protestierte | Diese Leute hier mit großem Bahnhof zu empfangen
s | das Korps der Altmärker selbst | gezwungen | sich aufzulösen
s | sie | gingen | die Debatten über das deutsche Kaiserreich denen in den letzten Jahrzehnten gegolten Mommsens Interesse hat neu zu bedenken
o | auch die mit ihrer Lebensleistung sichtlich zufriedenen Teilnehmer | zwangen | die Waffen der Kritik gegen sich selbst zu richten
s | Washington | versuche | durchzusetzen daß die EU diese Bohnen ohne Kennzeichnungspflicht auf den Markt lasse
s | Voigt | schlägt | die Funktion des stellvertretenden Oberkommandierenden der immer ein Europäer sei zu stärken indem ihm übertragen wenn daran beteiligt nur europäische Soldaten sind die Verantwortung für alle Nato- und WEU-Einsätze im Auftrag der UN wird
s | Die SPD | versäumt | sich über ihre traditionelle gesellschaftliche Verankerung hinaus neuen Zielgruppen und sozialen Milieus zu öffnen
s | Ulmanis | versucht | nicht nur Siegerist auszugrenzen sondern auch jene politischen Kräfte denen er selbst angehört an der Macht zu halten
s | die Aussteller | verpflichten | die international geltenden Copyright-Regeln anzuerkennen und keine Kopien zu zeigen
s | Spezielle Teams die zur Bekämpfung des organisierten Verbrechens gebildet worden waren | glaubten | dieses mit eigenen Waffen schlagen am besten zu können
s | die Ermittlungsbeamten | hofften | Mit der Organisation von Transporten weicher Drogen an die Hintermänner des internationalen Handels mit harten Drogen zu gelangen
s | Beide Bewegungen | geben | eine vergessene schlafende Seele des Volkes aufzuwecken
s | Die Regierung von Bosnien-Herzegowina | begonnen | den Wiederaufbau der von ihr kontrollierten Landesteile vorzubereiten
o | die Wähler | aufgerufen | gegen die konservative Revolution der Republikaner die seit einem Jahr in Washington die Mehrheit haben ihre Stimme abzugeben
s | Die Regierung | beschloß | eine Untersuchungskommission zu dem Anschlag einzusetzen
s | Berlins SPD | versuchte | das Wahlergebnis anzunehmen
s | Ingrid Stahmer | vorgeschlagen | eine parteiinterne Kommission für soziale Stadtpolitik einzusetzen
s | sie | hindern | Umfrageergebnisse und Wahlergebnisse zu vergleichen und politisch zu bewerten wenn die Fakten einen bemerkenswerten Rekord an Irrtümern offenbaren
o | den Waisen | helfe | ihre traumatischen Erfahrungen zu verarbeiten
s | Der Verteidigungsminister der Elfenbeinküste Leon Konan Koffi | appellierte | konkrete Hilfsprogramme für die betroffenen Kinder zu beschließen und umzusetzen
s | Unicef | versuche | die Prozeßvorbereitungen für die Kinder denen vorgeworfen Beteiligung am Völkermord wird zu beschleunigen
s | der Kanzler | verlangte | den Streit über die Europäische Währungsunion zu beenden
o | die SPD | bat | diese ungute Debatte so wie möglich schnell zu beenden
s | Die Regierung | weigere | eine aktive Arbeitsmarktpolitik zu betreiben
s | Die Bonner Koalitionsparteien | geeinigt | das Ausländerrecht in einigen Punkten zu liberalisieren
s | die | verdächtigt | an der Ermordung des Ministerpräsidenten Yitzhak Rabin beteiligt gewesen zu sein
s | der 27jährige Yigal Amir | angegeben | als Einzeltäter gehandelt zu haben
s | Assekuranzen | versuchen | ihren Annahmezwang in der Autohaftpflicht-Sparte zu umgehen indem sie von Nichtdeutschen mehr Geld verlangen
o | der Organisation | untersagt | die TV-Übertragungsrechte an den Begegnungen weiter zentral zu vermarkten
o | die Firma | forderte | den Boden zu sanieren
s | das Landratsamt | entschieden | die Verursacherin heranzuziehen
o | dem seit Mai inhaftierten Schneider | wirft | beim Bankrott seines Immobilienimperiums im Frühjahr 1994 insgesamt 245 Millionen Mark über Schweizer Konten beiseite geschafft zu haben
o | Frankreich und England | beschuldigte | eine geheime Absprache zur gemeinsamen Finanzierung der Atomtests getroffen zu haben
s | Lambsdorff | forderte | die Subventionen für Kohle und Landwirtschaft abzubauen
s | Der Autorenkreis der Bundesrepublik | gefordert | die Einladung an Wolf wegen dessen politischer Vergangenheit zurückzunehmen
s | Wahre Liebhaber | wissen | den froschgrünen Cannabis auch als Zierpflanze zu schätzen
s | die Menschen | versuchten | sich mit Sprüngen aus den oberen Stockwerken ins Freie zu retten
s | Mehrere Regierungschefs von Commonwealth-Ländern | appelliert | die Todesurteile gegen Bürgerrechtler aufzuheben
o | sie | animierten | mit in eine Kneipe zu fahren
s | Großbritannien | forderte | kleine Einzelhändler ganz aus der Richtlinie herauszunehmen
o | die Vereinten Nationen das Internationale Komitee des Roten Kreuzes und Menschenrechtsorganisationen | forderten | sich dafür daß die Menschen in ihre Heimat zurückkehren könnten einzusetzen
s | die Menschen | gezwungen | wenig wünschenswerte Taten zu begehen
o | den nigerianischen Machthaber General Sani Abacha | forderte | die Bürgerrechtler zu begnadigen
s | Regierungschefs mehrerer Commonwealth-Länder | forderten | das Urteil aufzuheben
s | Der Bericht | empfiehlt | die erst 1994 gegründete Sondereinsatzgruppe für andere Aufgaben einzusetzen
o | alle Kriegsparteien | verpflichten | Kriegsverbrecher ungeschoren davonkommen nicht zu lassen
s | Die im Erdgeschoß Wohnenden | versucht | den Brand einzudämmen
s | Vier Menschen | versuchten | sich durch einen Sprung aus dem Fenster zu retten
s | die PDS | forderte | die Mittel für die Arbeitsmarktmaßnahmen zu erhöhen
s | man | versucht | die Probleme am Ende des 20. Jahrhunderts mit den organisatorischen Strukturen Methoden und Instrumenten des 19. zu lösen
s | Sie | versucht | die Frage woher Puck jenen Eselskopf den er dem tumben Handwerker aufsetzt hat zu beantworten
s | Karin Beier | versucht | dieses Moment von Unterdrückung und plötzlichem Ausbruch normabweichender Sexualität ins Spiel einzufügen
s | er | gezwungen | seine Gewinne vorzuzeigen
o | sie | aufgefordert | ihre Abschlüsse nicht zu veröffentlichen
s | die amerikanischen Geldgeber | geweigert | einem Umstrukturierungsplan zuzustimmen
s | Sie | drohten | eines der halbfertigen Schiffe als Geisel zu nehmen und dessen Verkauf zu verhindern wenn die Verhandlungen mit der Konzernleitung ergebnislos bleiben sollten
o | die Regierung in Tunis | klagt | internationales sowie selbst tunesisches Recht zu mißachten
o | Repressionen | bekommen | zu spüren
o | Staatschef Ben Ali | aufgefordert | zu den Werten des 7. Novembers zu stehen und sein Versprechen Tunesien zu demokratisieren einzuhalten
s | er | drohte | ihn zu veröffentlichen
s | Greenpeace wiederum | gibt | dem Gegner durch mangelnde Genauigkeit selbst Munition geliefert zu haben
s | Die Führer vieler Commonwealth-Nationen | geeinigt | Major auf der Konferenz zu isolieren und Großbritannien wegen seiner frankreichfreundlichen Position scharf zu verurteilen
s | die Strafgerichte | gehindert | in den aktiven Soldaten der Bundeswehr eine hinreichend überschaubare Gruppe zu sehen
s | der nette Bursche Tom Cruise | glaubte | mit seinem Charme die Welt erobern zu können
o | ihr | macht | mehr als übertriebene falsche enttäuschte Erwartungen zu schaffen
s | Bundestagspräsidentin Rita Süssmuth | äußert | die Europäische Kommission zu eigenen Initiativen zu ermächtigen damit sich gegenüber der Zusammenarbeit zwischen Regierungen mehr supranationale Interessenbestimmung durchsetzt
s | Sie | behaupten | dabei schwere Strahlungsschäden erlitten zu haben
o | die konsortialführende Dresdner Bank | überzeugten | mehr als im Verkaufsprospekt angekündigt Papiere auf den Markt zu werfen
o | der Regierung | warf | das Volk belogen mit der Behauptung zwei bis drei Prozent Wachstum reichten für neue Arbeitsplätze aus zu haben
s | Fachleute wie Hans Jägemann Umweltreferent des Deutschen Sportbunds | glaubten | mit einfachen Normen und Regeln Wassersport und Naturschutz in Einklang bringen zu können
o | den Russen | erlaubt | das Gesicht zu wahren
s | Die Synode | beschloß | den Fortbestand der protestantischen Wochenzeitung Das Sonntagsblatt bis 1999 zu sichern
s | Das Arbeitsamt | geweigert | dem Mann nahtlos Arbeitslosengeld zu zahlen
s | Die Vereinigung der Verfolgten des Nazi-Regimes | kündigte | in der Gedenkstätte Buchenwald eine viertägige Mahnwache einzurichten
o | seine Landsleute | zwingt | sich den wahren Verhältnissen zu stellen
s | Bundesinnenminister Manfred Kanther CDU | verlangt | in Asyl-Altfällen wieder abzuschieben
s | de Gaulle | weigerte | die Niederlage Frankreichs zu akzeptieren
s | die Männer | geweigert | als Dorfschützer mit dem Militär zu kollaborieren
s | Er | bestritt | von dem Vorhaben Amirs gewußt zu haben
s | Er | drohte | am Ende der Trauerperiode für Rabin Namen zu nennen
o | dem amtierenden Ministerpräsidenten Schimon Peres | bot | einen gemeinsamen Appell gegen Gewalt zu veröffentlichen
s | Likud | ordnete | alle Parteischriften in denen persönlich angegriffen Rabin wird zu vernichten
s | Der Rat der Siedler im Westjordanland | kündigte | seine Proteste gegen die Politik der israelischen Regierung zu mäßigen und Extremisten aus den eigenen Reihen auszuschließen
o | Klaus Kinkel | motiviert | das Thema anzupacken
s | Diese Großanbieter | verpflichtet | innerhalb ihres Gebietes in bestimmter Zeit einen noch zu definierenden Versorgungsgrad der Wohnbevölkerung herzustellen
s | Ignatz Bubis Vorsitzender des Zentralrats der Juden in Deutschland | mahnte | auch nach der 57. Wiederkehr des Jahrestages der Pogromnacht 1938 diese Erinnerung stets weiter wachzuhalten
o | die Angehörigen beider Konfessionen | anspornen | gemeinsam Gerechtigkeit und Frieden unter den Völkern zu suchen
o | die Angehörigen beider Konfessionen | anspornen | gemeinsam Gerechtigkeit und Frieden unter den Völkern zu suchen
s | Jelzin | angekündigt | Kosyrew entlassen zu wollen
s | sie | versuchten | in Restaurants Bars und Lebensmittelläden Zigaretten zu kaufen
o | Oberbürgermeisterin Roth | aufgefordert | Verfassungsklage gegen den Bund wegen Aushöhlung der kommunalen Selbstverwaltung einzureichen
o | Behörden und Apothekenkammern | forderte | ihre Aussagen zu widerrufen
s | Jelzin | empfahl | zu prüfen wie die Frage der Kontrolle über die multinationale Friedenstruppe gelöst werden kann
o | uns | verpflichtet | für eine Völkermordsklausel einzutreten
s | Präsident Jürgen Steinert | schlägt | die Mieten künftig generell an das ortsübliche Niveau anzupassen
s | die Behörden | beschränkten | die Gestüte Rails mit Quarantäne zu belegen
s | wir | sind | irgendeine Verbindung zu den Pferden in Brisbane herzustellen
s | der 68jährige Uderzo | angekündigt | die Arbeit einzustellen
o | die Militärjunta in Nigeria | aufgefordert | die Todesurteile gegen den Regimekritiker Ken Saro-Wiwa sowie acht weitere Vertreter der Ogoni-Minderheit aufzuheben
s | Außenminister Tomi Ikimi | weigerte | zum Schicksal Saro-Wiwas Stellung zu nehmen
s | Die SPD | verlangt | die Ausgaben sektoral zu begrenzen
s | Major | versucht | eine Klausel die Atomversuche rechtfertigt einzubauen
s | Die Tiere die vielfach auf Terrassen und Dächern leben | bekommen | Fleisch und rohen Fisch zu essen
s | Die Präsidenten von Bosnien und Kroatien Alija Izetbegovic und Franjo Tudjman | geeinigt | ihren bisher brüchigen Kooperationspakt zu erweitern
s | die | versuchten | dieser Krise zu begegnen
o | dem Museum und den Menschen von Wolframs-Eschenbach | empfahl | den Begriff Fremdenverkehr beim Wort zu nehmen
s | wir | raten | nicht wieder eine abstrakte Debatte über die sogenannte Staatsquote zu führen
s | Wir in NRW | mithelfen | den sozialdemokratischen Dreiklang aus ökonomischem Wandel ökologischer Erneuerung und sozialer Verantwortung weiterzuentwickeln und zu verbessern bei uns in NRW wie auch in der Bundesrepublik
s | wir | glaubten | die Ausdünstungen von Schweiß und feuchten Kleidern im engen Zweimannzelt noch immer zu riechen und die brennende Sonne auf der geröteten Haut zu fühlen
s | man | glaubte | mit ihr den Stein der Weisen gefunden zu haben
s | der | versucht | den umstrittenen Begriff Ökotourismus positiv zu bestimmen
s | die Forscher | hoffen | erstmals die am Rande unseres Sonnensystems vermuteten eisigen Kometenwolken sogenannte Schmutzige Schneebälle nachweisen zu können
s | die | mühte | Japans Vorherrschaft in der Computerindustrie zu brechen indem sie nationale Unternehmen stützte ohne zu erkennen daß diese ihre Forschungs- und Entwicklungszentren in Japan Texas Instruments in Singapur Apple und anderen Teilen der Welt hatten während gleichzeitig japanische Unternehmen NEC die Forschungs- und Entwicklungskapazität der USA zu nutzen begannen und Amerikaner beschäftigten
s | sie | empfehlen | überall im Land Menschenversammlungen und öffentliche Gebäude zu meiden
s | Das Außenministerium | empfiehlt | die aktuelle Lage über Rundfunk und über die Reiseleitungen zu verfolgen
s | sie | suchten | sich an den Werken ermordeter Komponisten zu bereichern
s | Wendorff | appellierte | bei der Bezahlung eines Reisepakets nachdrücklich auf die Aushändigung des sogenannten Sicherungsscheins zu bestehen
s | sie | empfehlen | überall im Land Menschenversammlungen und öffentliche Gebäude zu meiden
s | Das Außenministerium | empfiehlt | die aktuelle Lage über Rundfunk und über die Reiseleitungen zu verfolgen
s | Die Partei | versuchen | den Spagat zwischen ihrer traditionellen Basis und den neuen Mittelschichten hinzubekommen ohne dabei auseinanderzubrechen
s | Die SPD | versuchen | die Diskussion in ihre Mitglieder- und potentielle Wählerschaft zu tragen
